character,components,meaning,pinyin,tree,decomposition,story,appears_in,my_story,picture,frequency_rank
袁,"土, 口, 𧘇",Robe,"yuán, Yuán","袁
├── 土
└── 37432
    ├── 口
    └── 𧘇
        ├── 37143
        │   ├── ㇒
        │   └── ㇗
        └── 90011
            └── 冫",⿱⿱土口𧘇,① clothes 𧘇 with big openings 口 reaching the ground 土,爵 園 遠 猿 ,,,1718
餐,"歺, 又, 食","Eat, dine, meal, food",cān,"餐
├── 𣦼
│   ├── 歺
│   └── 又
└── 食",⿱⿰歺又食,① rs. to eat 食 bones 歹 with the hand 又,,,,1719
惨,"忄, 厶, 大, 彡","Sad, pitiful, wretched, cruel",cǎn,"惨
├── 忄
└── 参
    ├── 37117
    │   ├── 厶
    │   └── 大
    └── 彡",⿰忄⿳厶大彡,① heart 忄 feeling sad when looking at orion 參/参: it's winter,,,,1720
绩,"纟, 龶, 贝","Spin, achievements",jì,"绩
├── 纟
└── 责
    ├── 龶
    │   └── 丰
    └── 贝",⿰纟⿱龶贝,① one's duty 責 to spin the thread 糸 of the silk cocoons: quite an achievement,,,,1721
儒,"亻, 雨, 而","(confucian) scholar, weak",rú,"儒
├── 亻
└── 需
    ├── 雨
    └── 而",⿰亻⿱雨而,① person 亻 standing in the rain stroking his beard 需,,,,1722
馀,"饣, 人, 一, 朩","variant of 餘|余[yu2], remainder, surname Yu","yú, Yú","馀
├── 饣
└── 余
    ├── 人
    └── 37526
        ├── 干
        └── 小",⿰饣⿱⿱人一朩,,,,,1723
谏,"讠, 柬","to remonstrate, to admonish, surname Jian","jiàn, Jiàn","谏
├── 讠
└── 柬
    ├── 木
    └── 64052
        ├── 90012
        │   ├── 口
        │   └── 丨
        └── 丷",⿰讠柬,,,,,1724
磨,"广, 木, 石","Grind, polish, rub, wear out, a millstone","mó, mò","磨
├── 麻
└── 石",⿸⿸广⿰木木石,① stone 石 used to grind plant material 麻,,,,1725
搜,"扌, 臼, 丨, 又","Search, seek, investigate",sōu,"搜
├── 扌
└── 叟
    ├── 37689
    │   ├── 臼
    │   └── 丨
    └── 又",⿰扌⿱⿻臼丨又,① hand 扌 of an old man 叟/叟 seeking something long lost,,,,1726
拖,"扌, 丿, 一, 也","variant of 拖[tuo1], to drag, to tow, to trail, to hang down, to mop (the floor), to delay, to drag on",tuō,"拖
├── 扌
└── 㐌
    ├── 𠂉
    │   ├── 丿
    │   └── 一
    └── 也
        ├── 乚
        └── 37387
            ├── ㇆
            └── 丨",⿰扌⿱⿰丿一也,,,,,1727
勃,"十, 冖, 子, 力","Suddenly, sudden, quick",bó,"勃
├── 孛
│   ├── 十
│   └── 37813
│       ├── 冖
│       └── 子
└── 力",⿰⿱⿱十冖子力,① force 力 quick like falling comets 孛,,,,1728
舟,⾈,"Boat, ship, rad. 137",zhōu,舟,⾈,① sail of a ship  → 舟,航 艇 般 艦 船 舶 凡,,,1729
诊,"讠, 人, 彡","Examine patient, diagnose, tell, report",zhěn,"诊
├── 讠
└── 㐱
    ├── 人
    └── 彡",⿰讠⿱人彡,① man with a beard 㐱 (doctor) examining a patient and telling 言 him what's the matter,,,,1730
豫,"厶, 乛, 亅, 𠂊, 囗, 丨, 𧰨","happy, carefree, at one's ease, variant of 預|预[yu4], old variant of 與|与[yu4], abbr. for Henan province 河南 in central China","yù, Yù","豫
├── 予
│   ├── 龴
│   │   └── 厶
│   └── 𠄐
│       ├── ㇖
│       └── 亅
└── 象
    ├── ⺈
    └── 37930
        ├── 90012
        │   ├── 口
        │   └── 丨
        └── 𧰨
            ├── 勿
            │   ├── 勹
            │   └── 37125
            │       └── ㇒
            └── 90011
                └── 冫",⿰⿱厶⿱乛亅⿳𠂊⿴囗丨𧰨,,,,,1731
骗,"一, 户, 冂, 十, 丨","Swindle, cheat out of, defraud",piàn,"骗
├── 马
└── 扁
    ├── 户
    └── 𠕁
        ├── 冂
        └── 艹",⿰⿹&CDP-8A77;一⿸户⿵冂⿻十丨,① book 扁 of the horse 馬 trader: usually they cheat,,,,1732
聪,"耳, 丷, 口, 心","quick at hearing, wise, clever, sharp-witted, intelligent, acute",cōng,"聪
├── 耳
└── 总
    ├── 𠮦
    │   ├── 丷
    │   └── 口
    └── 心",⿰耳⿱⿱丷口心,,,,,1733
酸,"酉, 厶, 八, 夂","Tart, sour, acid, stiff, spoiled",suān,"酸
├── 酉
└── 夋
    ├── 厶
    └── 48145
        ├── 八
        └── 夂",⿰酉⿳厶八夂,① jar 酉 containing a liquid that makes the spoiling process go slowly 夋: acid,,,,1734
屯,"丿, 凵, 乚","Village, hamlet, camp, station, stockpile","tún, zhūn","屯
├── 十
└── 𡳾
    ├── 屮
    └── 乚",⿻丿⿻凵乚,① rs. sprout  → 屯; typical thing for a village,,,,1735
综,"纟, 宀, 示","Arrange, gather up, sum up, inquire into, weave together","zèng, zōng","综
├── 纟
└── 宗
    ├── 宀
    └── 示",⿰纟⿱宀示,① religion 宗 is arranged and woven between people like threads 糸; it sums up many cultures and gathers up a lot of feelings,,,,1736
堡,"亻, 口, 木, 土","Fort, fortress, town, village","bǎo, pù","堡
├── 保
│   ├── 亻
│   └── 呆
│       ├── 口
│       └── 木
└── 土",⿱⿰亻⿱口木土,① protected 保 ground 土,,,,1737
亏,"一, ㇉","deficiency, deficit, luckily, it's lucky that..., (often ironically) fancy that...",kuī,"亏
├── 二
└── ㇉",⿱一⿱一㇉,,,,,1738
牢,"宀, 牛","firm, sturdy, fold (for animals), sacrifice, prison",láo,"牢
├── 宀
└── 牛",⿱宀牛,,,,,1739
鉴,"〢, 丿, 一, 丶, 金","variant of 鑑|鉴[jian4], old variant of 鑒|鉴[jian4], example, mirror, to view, reflection, to reflect, to inspect, to warn, (ancient bronze mirror), variant of 鑑|鉴[jian4]",jiàn,"鉴
├── 37223
│   ├── 37255
│   │   ├── 丨
│   │   └── 丨
│   └── 99791
│       ├── 𠂉
│       │   ├── 丿
│       │   └── 一
│       └── 丶
└── 金",⿱⿰〢⿱⿰丿一丶金,,,,,1740
凯,"山, 己, 几","Triumphant, triumph, victory, joy, peace","kǎi, Kǎi","凯
├── 岂
│   ├── 山
│   └── 己
└── 几",⿰⿱山己几,① rs. a kneeling man 几 playing a drum 豈/岂: joy,,,,1741
昔,"十, 丨, 一, 日","Formerly, ancient, in beginning","xī, Xī","昔
├── 龷
│   ├── 艹
│   └── 一
└── 日",⿱⿱⿻十丨一日,① something 龷 left to hang drying in the sun 日 ② 𦝙: adds meat 肉,𣄼 故 歴 昨; 惜 措 借 籍 錯,,,1742
颗,"日, 木, 页","classifier for small spheres, pearls, corn grains, teeth, hearts, satellites etc",kē,"颗
├── 果
│   ├── 田
│   └── 木
└── 页",⿰⿻日木页,,,,,1743
殖,"歹, 十, 月, 一","Breed, spawn, increase, prosper",zhí,"殖
├── 歹
└── 直
    ├── 十
    └── 37386
        ├── 目
        └── 一",⿰歹⿱十⿴⿻月一一,① putting bodies (seeds) underground 歹 so that straight 直 plants grow,,,,1744
慎,"忄, 十, 月, 一, 八","Act with care, be cautious, humility",shèn,"慎
├── 忄
└── 真
    ├── 十
    └── 具
        ├── 目
        └── 35189
            ├── 一
            └── 八",⿰忄⿱十⿱⿴⿻月一一八,① heart 忄 investigating carefully to find out the truth 真,,,,1745
夕,⼣,"Evening, night, dusk; slanted",xī,夕,⼣,"① in the evening, at dusk, the half moon rises:  → 夕; it has a slanted appearance"," 𣄼 夜 宵 昏: 婚 暮 西 晩; 夗 舛 歹 汐: 潮 夢 外 多 名
",,,1746
癸,"癶, 一, 大","10th heavenly stem, disposed grass",guǐ,"癸
├── 癶
└── 天
    ├── 一
    └── 大",⿱癶⿱一大,① walking legs 癶 in heaven 天 on grass,,,,1747
柱,"木, 亠, 土","Pillar, post, support, lean on",zhù,"柱
├── 木
└── 主
    ├── 王
    └── 丶",⿰木⿱亠土,① wooden 木 post which supports the leader 主 during his quest,,,,1748
甫,"十, 月, 丶","(classical) barely, just, just now",fǔ,"甫
├── 41053
│   ├── 十
│   └── 用
└── 丶",⿺⿻十月丶,,,,,1749
袖,"衤, 由","Sleeve, put something in sleeve",xiù,"袖
├── 衤
└── 由
    ├── 37024
    │   ├── 二
    │   └── 丨
    └── 凵",⿰衤由,① part of clothing 衣 where arms stick through like a young plant sticking out of the field 由,,,,1750
宴,"宀, 日, 女","(bound form) feast, repose, variant of 宴[yan4]",yàn,"宴
├── 宀
└── 妟
    ├── 日
    └── 女",⿱宀⿱日女,,,,,1751
衰,"亠, 口, 一, 𧘇","Decline, falter, decrease, weaken","cuī, shuāi","衰
├── 衣
└── 49226
    ├── 囗
    └── 一",⿳亠⿻口一𧘇,① rs. clothes 衣 made of hemp:  → 衰: clothing for the weak with declined health ② clothes with one 一 hole口: declining,,,,1752
琴,"王, 人, 丶, ㇇","Chinese lute or guitar, harp, koto, stringed instrument",qín,"琴
├── 玨
│   └── 王
└── 今
    ├── 亽
    │   ├── 人
    │   └── 丶
    └── ㇇",⿱⿰王王⿱⿱人丶㇇,① lute:  → 𤦡 → 琴,,,,1753
铜,"钅, 冂, 一, 口","Copper, brass, bronze cuprum",tóng,"铜
├── 钅
└── 同
    ├── 冂
    └── 𠮛
        ├── 一
        └── 口",⿰钅⿵⿵冂一口,① metal 金 having the same 同 colour as gold 金,,,,1754
苍,"艹, 人, 㔾","Blue, green, gray, old, masses","cāng, Cāng","苍
├── 艹
└── 仓
    ├── 人
    └── 㔾",⿱艹⿱人㔾,① plants 艹 growing on the roof of the warehouse 倉: green; it's an old warehouse storing masses,,,,1755
菲,"艹, 非","luxuriant (plant growth), rich with fragrance, phenanthrene C14H10, poor, humble, unworthy, radish (old), abbr. for the Philippines 菲律賓|菲律宾[Fei1 lu:4 bin1]","fēi, fěi, Fēi","菲
├── 艹
└── 非",⿱艹非,,,,,1756
液,"氵, 亠, 亻, 夂, 丶","Sap, juice, liquid, fluid",yè,"液
├── 氵
└── 夜
    ├── 亠
    └── 38480
        ├── 亻
        └── 41900
            ├── 夂
            └── 丶",⿰氵⿱亠⿰亻⿴夂丶,① juicy liquid 氵 consumed during the night 夜,,,,1757
桂,"木, 土","Cassia, cinnamon, japanese judas-tree","guì, Guì","桂
├── 木
└── 圭
    └── 土",⿰木⿱土土,① tree 木 expensive like jade 圭,,,,1758
愚,"禺, 心","Stupid, doltish, foolish",yú,"愚
├── 禺
│   ├── 甲
│   │   ├── 冂
│   │   └── 37024
│   │       ├── 二
│   │       └── 丨
│   └── 禸
└── 心",⿱禺心,① mind 心 like a monkey 禺,,,,1759
矛,⽭,"Spear, lance, rad. 110",máo,矛,⽭,① saw lance  →  → 矛,,,,1760
励,"厂, 一, 丿, 𠃌, 力","Strive, encourage","lì, Lì","励
├── 厉
│   ├── 厂
│   └── 万
│       ├── 一
│       └── 37184
│           ├── 丿
│           └── ㇆
└── 力",⿰⿸厂⿱一⿰丿𠃌力,① harsh 厲/厉 arm 力,,,,1761
夹,"二, 人, 丷",Be wedged or inserted between,"jiā, jiá, jià","夹
├── 夫
│   ├── 人
│   └── 二
└── 丷",⿻⿻二人丷,① rs. man 大 holding two other men 人 in a sandwich: 夾 → 夹,,,,1762
歇,"日, 勹, 𠃊, 人, 欠","Rest, stop, lodge",xiē,"歇
├── 曷
│   ├── 曰
│   └── 匃
│       ├── 勽
│       │   ├── 勹
│       │   └── 人
│       └── ㇗
└── 欠",⿰⿱日⿹勹⿺𠃊人欠,① beggar asking questions 曷 at the stranger with open mouth 欠: he's resting,,,,1763
拾,"扌, 人, 一, 口","Pick up, collect, tidy up, accounting form of the numeral ten","shè, shí","拾
├── 扌
└── 合
    ├── 亼
    │   ├── 人
    │   └── 一
    └── 口",⿰扌⿱⿱人一口,① rs. pick up with the hand 扌 and combine 合: collect,,,,1764
翠,"𠃌, 冫, 亠, 人, 十","Colour green, kingfisher",cuì,"翠
├── 羽
└── 卒
    ├── 亠
    └── 38261
        ├── 从
        │   └── 人
        └── 十",⿱⿰⿹𠃌冫⿹𠃌冫⿱⿱亠⿰人人十,① soldiers 卒 in a faraway country seeing the bright green colour of the wings 羽 of a kingfisher,,,,1765
堪,"土, 匚, 儿","Sustain, bear, stand, fit for, worthy of",kān,"堪
├── 土
└── 甚
    ├── 甘
    └── 匹
        ├── 匚
        └── 儿",⿰土⿱&CDP-88C8;⿷匚儿,① earth 土 fit for sustaining sweet stones 甚; one has to bear a lot of hardship to unearth them,,,,1766
踪,"口, 止, 宀, 示","Footprints, traces, tracks",zōng,"踪
├── ⻊
└── 宗
    ├── 宀
    └── 示",⿰⿱口止⿱宀示,① the remains of persons following each other 從 with their feet ⻊ ② tracks of numerous feet ⻊ near a house of worship 宗,,,,1767
割,"宀, 二, 一, 丨, 口, 刂","Cut, divide, partition, cede, break",gē,"割
├── 害
│   ├── 宀
│   └── 37534
│       ├── 丰
│       │   ├── 三
│       │   │   ├── 一
│       │   │   └── 二
│       │   └── 丨
│       └── 口
└── 刂",⿰⿱⿱宀⿻⿻二一丨口刂,① knife 刂 injuring 害 by cutting,,,,1768
疲,"疒, 皮","Feel tired, be exhausted, weak",pí,"疲
├── 疒
└── 皮",⿸疒皮,① sick 疒 man under cover 皮: he's tired and weak,,,,1769
宙,"宀, 由","Eternity, space",zhòu,"宙
├── 宀
└── 由
    ├── 37024
    │   ├── 二
    │   └── 丨
    └── 凵",⿱宀由,① the roof 宀 of heaven over the crops in the field 由: eternal vault,,,,1770
掠,"扌, 亠, 口, 小","Rob, ransack, plunder, pass by",lu:è,"掠
├── 扌
└── 京
    ├── 37045
    │   ├── 亠
    │   └── 口
    └── 小",⿰扌⿳亠口小,① hand 扌 in the capital 京: a thief robbing you of all your belongings,,,,1771
滚,"氵, 亠, 八, 厶, 𧘇","Turn, roll",gǔn,"滚
├── 氵
└── 衮
    ├── 衣
    └── 公
        ├── 八
        └── 厶",⿰氵⿳亠⿱八厶𧘇,① the imperial robe 袞/衮 rolling and billowing like the water 氵,,,,1772
腊,"月, 十, 丨, 一, 日","dried meat, also pr. [xi2], old variant of 臘|腊[la4], 12th lunar month, 12th lunar month, preserved (meat, fish etc)","xī, là","腊
├── 月
└── 昔
    ├── 龷
    │   ├── 艹
    │   └── 一
    └── 日",⿰月⿱⿱⿻十丨一日,,,,,1773
埋,"土, 里","Bury, secrete, conceal","mái, mán","埋
├── 土
└── 里",⿰土里,① rs. to bury in the earth 土 in the field 里,,,,1774
酉,⾣,A wine vessel,yǒu,酉,⾣,① wine bottle  → 酉," modf. to 西; 酋 酒;  瓶
",,,1775
佐,"亻, 丿, 一, 工","Assist, aid, second, subordinate",zuǒ,"佐
├── 亻
└── 左
    ├── 𠂇
    │   └── 十
    └── 工",⿰亻⿸⿻丿一工,① person's 亻 left hand 左: subordinate second aid,,,,1776
欺,"一, 八, 欠","Cheat, double-cross, deceive",qī,"欺
├── 其
│   ├── 甘
│   └── 35189
│       ├── 一
│       └── 八
└── 欠",⿰⿱⿱&CDP-88C8;一八欠,① man with open mouth 欠 at the table 其 deceiving everyone,,,,1777
