character,components,meaning,pinyin,tree,decomposition,story,appears_in,my_story,picture,frequency_rank
愕,"忄, 口, 一, ㇉",startled,è,"愕
├── 忄
└── 咢
    ├── 吅
    │   └── 口
    └── 亏
        ├── 二
        └── ㇉",⿰忄⿱⿰口口⿱一⿱一㇉,,,,,2896
旌,"方, 丿, 一, 生","banner, make manifest",jīng,"旌
├── 方
└── 38375
    ├── 𠂉
    │   ├── 丿
    │   └── 一
    └── 生",⿰方⿱⿰丿一生,,,,,2897
丐,丐,"to beg for alms, beggar, variant of 丐[gai4], variant of 丐[gai4]",gài,"丐
├── 下
│   ├── 一
│   └── 卜
└── ㇉",丐,,,,,2898
颐,"𦣞, 页","cheek, lower cheek, chin, jaw, to nourish",yí,"颐
├── 𦣞
│   ├── 匚
│   └── 38231
│       ├── 37372
│       │   └── 丨
│       └── 口
└── 页",⿰𦣞页,,,,,2899
孰,"亠, 口, 子, 九, 丶","who, which, what",shú,"孰
├── 享
│   ├── 37045
│   │   ├── 亠
│   │   └── 口
│   └── 子
└── 丸
    ├── 九
    │   ├── 丿
    │   └── ㇈
    └── 丶",⿰⿳亠口子⿻九丶,,,,,2900
嫉,"女, 疒, 丿, 一, 大","Jealousy, be jealous of",jí,"嫉
├── 女
└── 疾
    ├── 疒
    └── 矢",⿰女⿸疒⿱⿰丿一大,① illness 疾 possessed by certain women 女,,,,2901
螅,"虫, 自, 心",(intestinal worm),xī,"螅
├── 虫
└── 息
    ├── 自
    └── 心",⿰虫⿱自心,,,,,2902
婉,"女, 宀, 夕, 㔾","Amiable, congenial, restrained",wǎn,"婉
├── 女
└── 宛
    ├── 宀
    └── 夗
        ├── 夕
        └── 㔾",⿰女⿱宀⿰夕㔾,① woman 女 sleeping in the house 宛: amiable sight,,,,2903
畴,"田, 二, 一, 丨, 寸","arable fields, cultivated field, class, category",chóu,"畴
├── 田
└── 寿
    ├── 丰
    │   ├── 三
    │   │   ├── 一
    │   │   └── 二
    │   └── 丨
    └── 寸",⿰田⿸⿻⿻二一丨寸,,,,,2904
删,"册, 刂",to delete,shān,"删
├── 册
│   └── 27020
└── 刂",⿰册刂,,,,,2905
寞,"宀, 艹, 日, 大","Silent, still, lonely, solitary",mò,"寞
├── 宀
└── 莫
    ├── 艹
    └── 旲
        ├── 日
        └── 大",⿱宀⿱艹⿱日大,① house 宀 in the darkness 莫: silent and solitary,,,,2906
韶,"立, 日, 刀, 口","(music), excellent, harmonious, surname Shao","sháo, Sháo","韶
├── 音
└── 召
    ├── 刀
    └── 口",⿰⿱立日⿱刀口,,,,,2907
渭,"氵, 田, 月",the Wei River in Shaanxi through the Guanzhong 關中|关中 plain,Wèi,"渭
├── 氵
└── 胃
    ├── 田
    └── 月",⿰氵⿱田月,,,,,2908
